client_id,nom_client,genre_client,date_naissance,adresse_email,num_tel_mobile,adresse_physique,identifiant_national,type_abonnement,plan_tarifaire,date_debut_abonnement,statut_actif,moyen_paiement,facture_moyenne_mensuelle,satisfaction_client,date_consentement,consentement_marketing,optout_marketing,tenure_jours,tenure_mois,duree_appel_totale_sec,duree_appel_moyenne_sec,nb_appels,sms_total,data_totale_gb,data_moyenne_gb,nb_evenements_data_cdr,nb_evenements_total,recence_cdr_jours,nb_sessions,duree_session_moyenne_sec,duree_session_totale_sec,taux_cookies,recence_session_jours,zone_reseau_principale,qualite_signal_dominante,latitude_moyenne,longitude_moyenne,churn,data_manquante,satisfaction_manquante,nb_reclamations,reclamation_manquante,data_mois_M,data_mois_M1,tendance_data_pct,ratio_sms_appels,ratio_data_voix,score_qualite_zone,score_frustration
1,Client_1,Homme,1948-05-03,client_1@tunisietelecom.tn,21649985826,Adresse_1,2021469,Offre Prépayée,Forfait Mobile (Mixte),2023-01-31,True,ticket_recharge,5.15,5.0,2023-03-29,True,False,701,23,2445.0,174.64285714285714,14.0,16.0,69.32,7.702222222222222,9.0,39.0,2.0,7,105.85714285714286,741,0.8571428571428571,92,RURAL,Faible,32.44187836363636,8.639985272727273,0,0,0,0.0,0,3.07,25.05,-87.74,1.1429,29.0322,1,0.0
2,Client_2,Homme,2002-03-03,client_2@outlook.fr,21624436252,Adresse_2,6779277,Offre à Facture,Offre Classique,2020-01-02,False,ticket_recharge,8.24,1.0,2024-04-18,True,False,1826,59,68.0,68.0,1.0,1.0,0.0,0.0,0.0,4.0,21.0,1,380.0,380,0.0,55,URBAIN,Bon,36.028828,10.401062,0,0,0,,1,0.0,0.0,0.0,1.0,0.0,6,
3,Client_3,Homme,1957-12-19,client_3@outlook.fr,21691817052,Adresse_3,3892371,Offre Prépayée,Offre Classique,2022-05-10,False,ticket_recharge,9.14,,2022-09-15,True,False,967,31,249.0,124.5,2.0,1.0,0.0,0.0,0.0,3.0,82.0,1,38.0,38,1.0,561,SUBURBAIN,Bon,35.333467,9.759132,0,0,1,,1,0.0,0.0,0.0,0.5,0.0,4,
4,Client_4,Femme,1975-12-06,client_4@gmail.com,21648596585,Adresse_4,7970199,Offre Prépayée,Offre Classique,2023-07-18,True,ticket_recharge,21.53,2.0,,False,False,533,17,959.0,95.9,10.0,3.0,0.0,0.0,0.0,18.0,12.0,8,259.875,2079,0.375,81,URBAIN,Bon,36.53217525,10.1728455,0,0,0,3.0,0,0.0,0.0,0.0,0.3,0.0,6,12.0
5,Client_5,Homme,1957-06-22,client_5@yahoo.com,21627269324,Adresse_5,11463001,Offre Prépayée,Offre Classique,2023-02-04,False,ticket_recharge,12.03,1.0,2024-01-06,True,False,697,22,345.0,115.0,3.0,1.0,0.0,0.0,0.0,6.0,11.0,3,139.33333333333334,418,0.6666666666666666,86,URBAIN,Bon,36.503328,10.3586525,0,0,0,6.0,0,0.0,0.0,0.0,0.3333,0.0,6,30.0
6,Client_6,Homme,1970-01-16,client_6@outlook.fr,21623521279,Adresse_6,13822136,Offre Prépayée,Forfait Mobile (Mixte),2022-12-31,True,ticket_recharge,,3.0,2023-07-12,True,False,732,24,1409.0,140.9,10.0,12.0,109.73,7.315333333333333,15.0,37.0,6.0,10,1044.0,10440,0.7,123,URBAIN,Excellent,36.4922412,10.2623382,0,0,0,3.0,0,36.02,1.94,200.0,1.2,79.747,9,9.0
7,Client_7,Homme,1967-01-16,client_7@yahoo.com,21627119848,Adresse_7,1515693,Offre à Facture,Offre Classique,2022-11-10,False,ticket_recharge,22.72,,2023-10-15,True,False,783,25,125.0,125.0,1.0,1.0,0.0,0.0,0.0,2.0,245.0,3,205.0,615,0.6666666666666666,368,SUBURBAIN,Bon,35.370254,9.419912,1,0,1,,1,0.0,0.0,0.0,1.0,0.0,4,
8,Client_8,Homme,1979-12-06,client_8@outlook.fr,21622244289,Adresse_8,8818114,Offre Prépayée,Offre Classique,2020-05-01,False,ticket_recharge,29.39,2.0,,False,False,1706,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,85.0,85,0.0,1498,RURAL,Bon,32.37321766666667,8.339039333333334,0,0,0,7.0,0,0.0,0.0,0.0,0.0,0.0,2,28.0
9,Client_9,Homme,1999-04-18,client_9@tunisietelecom.tn,21694282972,Adresse_9,11414994,Offre Prépayée,Offre Classique,2021-04-11,True,ticket_recharge,88.74,5.0,,False,False,1361,44,1573.0,157.3,10.0,6.0,0.0,0.0,0.0,21.0,131.0,9,405.77777777777777,3652,0.4444444444444444,130,URBAIN,Excellent,36.90962,10.043121,1,0,0,0.0,0,0.0,0.0,0.0,0.6,0.0,9,0.0
10,Client_10,Homme,1992-09-20,client_10@tunisietelecom.tn,21625414473,Adresse_10,6712044,Offre Prépayée,Offre Classique,2023-05-23,True,ticket_recharge,,2.0,,False,False,589,19,514.0,85.66666666666667,6.0,9.0,0.0,0.0,0.0,21.0,14.0,3,77.0,231,0.3333333333333333,135,URBAIN,Excellent,36.428036500000005,10.0781935,0,0,0,4.0,0,0.0,0.0,0.0,1.5,0.0,9,16.0
